Datum	F	G	S	V
2000-10-30	Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit	Elektrizitäts- und Kernkraftindustrie|Exekutive|soziale Sicherheit	Strafrecht|Gesundheit|Agrarerzeugnisse und Lebensmittel|Verwaltungsorganisation|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|soziale Sicherheit|Exekutive|Misstrauensantrag|soziale Sicherheit|Arbeitslosenversicherung	Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit
2000-11-16	Gesundheit|Bürgerliches Recht|Bürgerliches Recht	Bürgerliches Recht|Bürgerliches Recht	Bürgerliches Recht	Gesundheit|Bürgerliches Recht|Bürgerliches Recht
2000-11-17	Zivildienst|Zivilschutz			Zivildienst|Zivilschutz
2000-11-22	öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst	Straßenverkehr|Verwaltungsorganisation|Strafrecht|Exekutive|Misstrauensantrag|soziale Sicherheit	Gesetzgebungsverfahren|Strafrecht|Strafrecht|Verfassung|Fernsehen|Hörfunk|Parlamentsdebatte|Post- und Fernmeldewesen|soziale Sicherheit|Sozialpolitik|Bildung|Bürgerliches Recht|junger Mensch|Organisation des Unterrichtswesens|Bürgerliches Recht|junger Mensch	öffentliche Verwaltung|öffentlicher Dienst|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst
2000-11-23	Finanzwesen		Hochschulausbildung|Öffentliche Finanzen und Haushaltspolitik|Finanzwesen|öffentliche Sicherheit|Wohnungspolitik|Geschäftsordnung des Parlaments|partizipative Demokratie	Finanzwesen
2000-11-24	Darstellende Künste|partizipative Demokratie|ethnische Gruppe|junger Mensch|Vereinsleben|Versammlungsfreiheit|öffentliche Verwaltung|öffentlicher Dienst	Agrarerzeugnisse und Lebensmittel|Verwaltungsorganisation|ethnische Gruppe|junger Mensch|Vereinsleben|Versammlungsfreiheit|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit	junger Mensch|Wahl|Strafrecht|Verfassung|ethnische Gruppe|junger Mensch|Vereinsleben|Versammlungsfreiheit|Darstellende Künste|namentliche Abstimmung|öffentliche Verwaltung|öffentlicher Dienst|soziale Sicherheit|Land- und Forstwirtschaft, Fischerei	Darstellende Künste|partizipative Demokratie|ethnische Gruppe|junger Mensch|Vereinsleben|Versammlungsfreiheit|öffentliche Verwaltung|öffentlicher Dienst
2000-11-28	Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	Land- und Forstwirtschaft, Fischerei|Parlamentsdebatte|Tiermedizin|Tierschutz	Informatik|Information und Informationsverarbeitung|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Sport|Steuerwesen|Sport	Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz
2000-11-29	Umwelt	namentliche Abstimmung|Staatschef|Energie|Verkehr	Parlamentsdebatte|Sozialpolitik|Steuerwesen|Informatik|Information und Informationsverarbeitung|Tourismus|Tourismus|namentliche Abstimmung|Staatschef	Umwelt
2000-11-30	soziale Sicherheit	Menschenrechte|Politik der Zusammenarbeit	Menschenrechte|Bildung|Bürgerliches Recht|junger Mensch|Organisation des Unterrichtswesens|Sport|Land- und Forstwirtschaft, Fischerei|Gesundheit|Hochschulausbildung|Politik der Zusammenarbeit|Gesundheit|Tiermedizin|Tierschutz|Internationale Beziehungen	soziale Sicherheit
2000-12-05	Apotheke|Öffentliche Finanzen und Haushaltspolitik|Tiermedizin|Tierschutz|Tourismus|Menschenrechte|Strafrecht	Arbeitslosenversicherung|Behinderter|soziale Sicherheit|Menschenrechte|Strafrecht	Frau|Gleichbehandlung|Menschenrechte|Arbeitsrecht|Fernsehen|Hörfunk|Arbeitslosenversicherung|Arbeitsrecht|öffentliche Verwaltung|öffentlicher Dienst|Behinderter|Menschenrechte|Strafrecht	Apotheke|Öffentliche Finanzen und Haushaltspolitik|Tiermedizin|Tierschutz|Tourismus|Menschenrechte|Strafrecht
2000-12-06		Fernsehen|Hörfunk|Land- und Forstwirtschaft, Fischerei|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	Schienentransport|Straßenverkehr|Handel|Industrie|Unternehmen und Wettbewerb|Strafrecht	
2000-12-14	Opferhilfe|Post- und Fernmeldewesen|Bildung|Organisation des Unterrichtswesens|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Wasser|Wasserbewirtschaftung	Opferhilfe|Tiermedizin|Tierschutz|Familienleistungsausgleich|Verkehr|Finanzausgleich|Primarstufe|Exekutive|Misstrauensantrag|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz	Opferhilfe|Gesundheit|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|soziale Sicherheit	Opferhilfe|Post- und Fernmeldewesen|Bildung|Organisation des Unterrichtswesens|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Tiermedizin|Tierschutz|Wasser|Wasserbewirtschaftung
2001-01-18	Straßenverkehr	Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Schienentransport|Umwelt	Parlamentsdebatte|Steuerwesen|Agrarerzeugnisse und Lebensmittel|Informatik|Information und Informationsverarbeitung|Steuerwesen|Wahl|Agrarerzeugnisse und Lebensmittel|Frau|Gleichbehandlung	Straßenverkehr
2001-01-25	Tiermedizin|Tierschutz			Tiermedizin|Tierschutz
2001-01-31	Handel|Industrie|Unternehmen und Wettbewerb|Abfall|Abfallwirtschaft|Verwaltungsorganisation|völkerrechtliche Verantwortlichkeit	Fernsehen|Hörfunk|Neutralität|Behinderter|Sekundarstufe|völkerrechtliche Verantwortlichkeit|Neutralität	Handel|Industrie|Unternehmen und Wettbewerb|Sport|Beschäftigung und Arbeitsbedingungen|Informatik|Information und Informationsverarbeitung|öffentliche Verwaltung|öffentlicher Dienst|völkerrechtliche Verantwortlichkeit	Handel|Industrie|Unternehmen und Wettbewerb|Abfall|Abfallwirtschaft|Verwaltungsorganisation|völkerrechtliche Verantwortlichkeit
