Datum	A	F	G	N	S	T	V
2016-05-06		Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei
2016-05-11		Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei	Land- und Forstwirtschaft, Fischerei
2016-05-12			Flüchtling|Menschenrechte	Flüchtling|Menschenrechte	Flüchtling|Menschenrechte		Flüchtling|Menschenrechte
2016-05-18		Preis|Staatsangehöriger	Geschäftsordnung des Parlaments|Haushaltskontrolle|Steuerwesen|Haushaltskontrolle|Verfassung|Hochschulausbildung|Familie|Familie|Straßenverkehr|Luftverkehr|Öffentlicher Sektor|Behinderter|Wohnungspolitik|Informatik|Information und Informationsverarbeitung|junger Mensch|öffentliche Verwaltung|öffentlicher Dienst|Verfassung|Gerichtswesen|Behinderter|Steuerwesen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei	ausländischer Staatsangehöriger|Hochschulausbildung|Wohnungspolitik|Öffentliche Finanzen und Haushaltspolitik|Verfassung|Wirtschaft|Informatik|Information und Informationsverarbeitung|Wohnungspolitik|Hochschulausbildung|Versicherungswesen|Wohnungspolitik|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Steuerwesen|Verwaltungsreform|Sozialpolitik|Wirtschaft	Exekutive|Gesundheit|Tiermedizin|Tierschutz	Flüchtling|Strafrecht|Europäische Union|Flüchtling|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Tourismus	Exekutive|Gesundheit|Tiermedizin|Tierschutz
2016-05-19		Elektrizitäts- und Kernkraftindustrie|Europäische Union|Gesundheit|Elektrizitäts- und Kernkraftindustrie|Wirtschaft|Wasserbewirtschaftung|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Flüchtling|Elektrizitäts- und Kernkraftindustrie|Umwelt|Handel|Industrie|Unternehmen und Wettbewerb|Frau|Gleichbehandlung|Menschenrechte	Internationale Beziehungen|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb|Buchprüfung|Internationale Beziehungen	Flüchtling|Verteidigung|Staatschef|Verfassung|Hochschulausbildung|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Frau|Gesundheit|Gleichbehandlung|öffentliche Verwaltung|öffentlicher Dienst|Internationale Beziehungen	Internationale Beziehungen|Internationale Beziehungen	Familie|soziale Sicherheit|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Familie|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Hochschulausbildung|Gesundheit|Handel|Industrie|Unternehmen und Wettbewerb|Internationale Beziehungen	Internationale Beziehungen|Internationale Beziehungen
2016-06-01		Menschenrechte	Menschenrechte		Menschenrechte	Menschenrechte	Menschenrechte
2016-06-07					Bildung|Organisation des Unterrichtswesens|Primarstufe		Bildung|Organisation des Unterrichtswesens|Primarstufe
2016-06-15	Gesundheit|soziale Sicherheit	Familie|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb	soziale Sicherheit|Ausbildungsbeihilfe|Flüchtling|Familie|Menschenrechte|Vereinte Nationen	Post- und Fernmeldewesen|Straßenverkehr|Verfassung|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|soziale Sicherheit|Exekutive|Fernsehen|Hörfunk|Parlamentsdebatte|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Familie|Handel|Industrie|Umwelt|Unternehmen und Wettbewerb	Straßenverkehr|Luftverkehr|Strafrecht	Steuerwesen|Agrarerzeugnisse und Lebensmittel|Tourismus|Familie|Familie|soziale Sicherheit	Straßenverkehr|Luftverkehr|Strafrecht
2016-06-16		Berufsverband|Beschäftigung und Arbeitsbedingungen|Wirtschaft|Forschung und geistiges Eigentum|Wissenschaften|Beschäftigung und Arbeitsbedingungen|Gesundheit|Wirtschaft|Sozialpolitik|Wohnungspolitik|ethnische Gruppe|Informatik|Information und Informationsverarbeitung|Arbeitslosenversicherung|Verwaltungsreform|Exekutive	soziale Sicherheit|Sozialpolitik|Staatschef|Bürgerliches Recht|junger Mensch|Behinderter|Presse|Land- und Forstwirtschaft, Fischerei|Steuerwesen|Opferhilfe|Wirtschaft|Sozialpolitik|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Informatik|Information und Informationsverarbeitung|Gerichtswesen|Behinderter|Agrarerzeugnisse und Lebensmittel|Gesundheit|Frau|Gleichbehandlung|Vereinte Nationen	Staatschef|Forschung und geistiges Eigentum|Wissenschaften|Steuerwesen|Steuerwesen|Opferhilfe|Verwaltungsrecht|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|öffentliche Sicherheit|Verteidigung|Primarstufe	Staatschef|Forschung und geistiges Eigentum|Wissenschaften|Opferhilfe	Ausweis|Straßenverkehr|Forschung und geistiges Eigentum|Wissenschaften|Sekundarstufe|Handel|Industrie|Unternehmen und Wettbewerb|Haushaltskontrolle	Staatschef|Forschung und geistiges Eigentum|Wissenschaften|Opferhilfe
2016-06-22		Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie	Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie|Elektrizitäts- und Kernkraftindustrie
2016-06-29					Gesundheit|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Gesundheit		Gesundheit|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Gesundheit
2016-07-06		Versicherungswesen|parlamentarischer Ausschuss|Wahl|Politik der Zusammenarbeit|Informatik|Information und Informationsverarbeitung|Sport|Europäische Union|Öffentliche Finanzen und Haushaltspolitik|soziale Sicherheit|Europäische Union|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Wirtschaft	Behinderter|Gesundheit|Behinderter|Beschäftigung und Arbeitsbedingungen|Post- und Fernmeldewesen|Preis|soziale Sicherheit|Personenstand|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|Flüchtling|junger Mensch	Sekundarstufe|Sekundarstufe|öffentliche Sicherheit|Steuerwesen|Verwaltungsrecht|öffentliche Sicherheit|öffentliche Sicherheit|Bildung|Organisation des Unterrichtswesens|öffentliche Sicherheit|soziale Sicherheit|Primarstufe	Flüchtling|junger Mensch|Finanzwesen	öffentliche Sicherheit|Politische Partei|Steuerwesen|Steuerwesen|Beschäftigung und Arbeitsbedingungen|junger Mensch|öffentliche Sicherheit|Handel|Industrie|Steuerwesen|Tourismus|Unternehmen und Wettbewerb|Politische Partei|Steuerwesen	Flüchtling|junger Mensch|Finanzwesen
2016-07-07		Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei|Gesundheit|Umwelt|Gesundheit|Umwelt|Gesundheit|Umwelt|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst	öffentliche Verwaltung|öffentlicher Dienst|Gesundheit|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Fernsehen|Hörfunk	Straßenverkehr	Menschenrechte|Gesundheit|Gesundheit	Straßenverkehr	Menschenrechte|Gesundheit|Gesundheit
2016-07-08			Kulturpolitik|Kunst|soziale Sicherheit|Bürgerliches Recht|Energie|namentliche Abstimmung|Steuerwesen|Umwelt|Energie|Umwelt|Agrarerzeugnisse und Lebensmittel|Land- und Forstwirtschaft, Fischerei		Verfassung|Wahl	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb	Verfassung|Wahl
2016-09-13		Europäische Union|Europäische Union|Frau|Gleichbehandlung|Menschenrechte|Frau|Gleichbehandlung|Menschenrechte	Staatschef|Verfassung|Wahl	Energie|Steuerwesen|Wirtschaft|Energie|Staatschef|Verfassung|Wahl|Familie|Steuerwesen|Steuerwesen|Wirtschaft	Staatschef|Verfassung|Wahl	ausländischer Staatsangehöriger|Hochschulausbildung|Europäische Union|Flüchtling	Staatschef|Verfassung|Wahl
2016-09-21		Bildung|Familie|Organisation des Unterrichtswesens|Primarstufe|Tabak|Frau|Gleichbehandlung|Menschenrechte|Internationale Beziehungen|Tabak|Finanzwesen|Primarstufe|Tabak	Finanzausgleich|Gesundheit|soziale Sicherheit|Informatik|Information und Informationsverarbeitung|Gesundheit|soziale Sicherheit|soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Fernsehen|Hörfunk|Hochschulausbildung|Gesundheit|Gesundheit|Steuerwesen|Arbeitsrecht|Umwelt|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Vereinte Nationen	Steuerwesen|Tourismus|Hochschulausbildung|Handel|Industrie|Unternehmen und Wettbewerb|Arbeitsrecht|Berufsverband|Presse	Europäische Union|Informatik|Information und Informationsverarbeitung	Steuerwesen|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Forschung und geistiges Eigentum|Öffentliche Finanzen und Haushaltspolitik|Wissenschaften|Flüchtling|Luftverkehr|Steuerwesen	Europäische Union|Informatik|Information und Informationsverarbeitung
2016-09-27					Menschenrechte		Menschenrechte
2016-10-12	soziale Sicherheit	Umwelt|Apotheke|Handel|Industrie|Unternehmen und Wettbewerb|Sekundarstufe	soziale Sicherheit|Steuerwesen|soziale Sicherheit|Apotheke|Hochschulausbildung|Einkommen|Verwaltung und Entlohnung des Personals|Handel|Industrie|Unternehmen und Wettbewerb	Hochschulausbildung	Apotheke	Finanzwesen|Agrarerzeugnisse und Lebensmittel|Zivilschutz	Apotheke
2016-10-13	Gesundheit|Informatik|Information und Informationsverarbeitung	Gesundheit|Flüchtling|Gesundheit|soziale Sicherheit|Arbeitsrecht|Bildung|Organisation des Unterrichtswesens|Sport|Europäische Union|soziale Sicherheit|Sozialpolitik|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen|öffentliche Sicherheit|Strafrecht|Land- und Forstwirtschaft, Fischerei|namentliche Abstimmung|Öffentliche Finanzen und Haushaltspolitik|Flüchtling|Frau|Gleichbehandlung|junger Mensch	Land- und Forstwirtschaft, Fischerei|soziale Sicherheit|Steuerwesen|Öffentliche Finanzen und Haushaltspolitik|Umwelt|Europäische Union|Flüchtling|Umwelt|Flüchtling|Frau|Gleichbehandlung|junger Mensch|Elektrizitätsindustrie|Energie|Steuerwesen|Umwelt|Steuerwesen|Umwelt	Flüchtling|Frau|Gleichbehandlung|junger Mensch	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|Frau|Gleichbehandlung|junger Mensch	Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Flüchtling|Frau|Gleichbehandlung|junger Mensch|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Steuerwesen	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Flüchtling|Frau|Gleichbehandlung|junger Mensch
2016-10-17		Wahl	Wahl	Wahl	Wahl		Wahl
2016-10-18			Filmindustrie|Frau|Gleichbehandlung		Filmindustrie|Frau|Gleichbehandlung		Filmindustrie|Frau|Gleichbehandlung
2016-10-20			Behinderter|Wohnungspolitik	Behinderter|Wohnungspolitik	Behinderter|Wohnungspolitik		Behinderter|Wohnungspolitik
2016-11-08					öffentliche Verwaltung|öffentlicher Dienst		öffentliche Verwaltung|öffentlicher Dienst
2016-11-09		Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals	Menschenrechte|Schienentransport|Agrarerzeugnisse und Lebensmittel|Gesundheit|Personenstand|Internationale Beziehungen|Menschenrechte|Gesundheit|Politik der Zusammenarbeit|junger Mensch|Strafrecht|Steuerwesen|Menschenrechte	soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Wissenschaften		Agrarerzeugnisse und Lebensmittel|Tourismus	
2016-11-10		Vereinsleben|Versammlungsfreiheit|Gesundheit|Beschäftigung und Arbeitsbedingungen|Flüchtling|Sport|Vereinsleben|Versammlungsfreiheit		Straßenverkehr|Wirtschaft|Apotheke			
2016-11-22		Bauindustrie und öffentliches Bauwesen|Baupolitik|Finanzwesen|soziale Sicherheit|Gesundheit|Fernsehen|Hörfunk|Politik der Zusammenarbeit|ethnische Gruppe|ausländischer Staatsangehöriger|Strafrecht|Einkommen|öffentliche Sicherheit|öffentliche Verwaltung|öffentlicher Dienst|Verwaltung und Entlohnung des Personals|Flüchtling|öffentliche Sicherheit|Vereinsleben|Versammlungsfreiheit	Bauindustrie und öffentliches Bauwesen|Baupolitik|Beschäftigung und Arbeitsbedingungen|junger Mensch|Steuerwesen|Straßenverkehr|Umwelt|Beschäftigung und Arbeitsbedingungen|junger Mensch|Bürgerliches Recht|Presse|Bildung|Organisation des Unterrichtswesens|Handel|Industrie|Unternehmen und Wettbewerb	Bauindustrie und öffentliches Bauwesen|Baupolitik	Bauindustrie und öffentliches Bauwesen|Baupolitik	Bauindustrie und öffentliches Bauwesen|Baupolitik|öffentliche Sicherheit|öffentliche Sicherheit	Bauindustrie und öffentliches Bauwesen|Baupolitik
2016-11-23		Handel|Industrie|Unternehmen und Wettbewerb|Opferhilfe|Elektrizitäts- und Kernkraftindustrie|Informatik|Information und Informationsverarbeitung|öffentliche Sicherheit|soziale Sicherheit|Familienleistungsausgleich|Familie|soziale Sicherheit|Gesundheit	Handel|Industrie|Unternehmen und Wettbewerb|Schienentransport|Umwelt|Wasser|Wasserbewirtschaftung|Bildung|Organisation des Unterrichtswesens|Umwelt	Land- und Forstwirtschaft, Fischerei|Handel|Industrie|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Wohnungspolitik|Wohnungspolitik|Familienleistungsausgleich|Bildung|Organisation des Unterrichtswesens|soziale Sicherheit|Sozialpolitik|Familienleistungsausgleich|soziale Sicherheit	Handel|Industrie|Unternehmen und Wettbewerb	Handel|Industrie|Unternehmen und Wettbewerb|Gesundheit|Steuerwesen|Familie|soziale Sicherheit|Steuerwesen	Handel|Industrie|Unternehmen und Wettbewerb
2016-11-24	Familie|Geschäftsordnung des Parlaments|Verfassung	Beschäftigung und Arbeitsbedingungen|Tabak|Tourismus|Strafrecht|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Land- und Forstwirtschaft, Fischerei|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst|Verteidigung|Handel|Industrie|Unternehmen und Wettbewerb|Öffentliche Finanzen und Haushaltspolitik|Tourismus|Handel|Industrie|Unternehmen und Wettbewerb|Europäische Union|Wirtschaft|Schienentransport	Land- und Forstwirtschaft, Fischerei|Tourismus|Sozialpolitik|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|soziale Sicherheit|Sozialpolitik|Bergbau|Handel|Industrie|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Wissenschaften|Forschung und geistiges Eigentum|Wissenschaften|Steuerwesen|Steuerwesen|Handel|Industrie|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Wissenschaften	Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|Verfassung|Forschung und geistiges Eigentum|Wissenschaften|Handel|Industrie|Unternehmen und Wettbewerb	Forschung und geistiges Eigentum|Wissenschaften|Handel|Industrie|Unternehmen und Wettbewerb	Bürgerliches Recht|Tourismus|Forschung und geistiges Eigentum|Wissenschaften|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb	Forschung und geistiges Eigentum|Wissenschaften|Handel|Industrie|Unternehmen und Wettbewerb
2016-11-25					Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit		Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit
2016-12-06				Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens	Land- und Forstwirtschaft, Fischerei|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens		Land- und Forstwirtschaft, Fischerei|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens
2016-12-14		öffentliche Sicherheit|Bildung|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens		Familienleistungsausgleich|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens		Steuerwesen|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Straßenverkehr	
2016-12-15		Handel|Industrie|Unternehmen und Wettbewerb|Familie|soziale Sicherheit|öffentliche Sicherheit|Strafrecht|Tourismus|Straßenverkehr|Gesundheit|soziale Sicherheit|Strafrecht|Handel|Industrie|Unternehmen und Wettbewerb|Strafrecht|Gesundheit|soziale Sicherheit|Strafrecht|Europäische Union|Gesundheit|soziale Sicherheit|Strafrecht	Menschenrechte|soziale Sicherheit|Steuerwesen|Beschäftigung und Arbeitsbedingungen|Tourismus|Tiermedizin|Tierschutz|Politik der Zusammenarbeit|Presse|Flüchtling|Beschäftigung und Arbeitsbedingungen|Tourismus|Beschäftigung und Arbeitsbedingungen|junger Mensch|Land- und Forstwirtschaft, Fischerei|Steuerwesen		Informatik|Information und Informationsverarbeitung|Menschenrechte|Strafrecht|Arbeitsrecht	Flüchtling|junger Mensch|Primarstufe|Straßenverkehr|Geschäftsordnung des Parlaments|Gesetzgebungsverfahren|soziale Sicherheit|soziale Sicherheit|Sozialpolitik|Familie|soziale Sicherheit|Versicherungswesen	Informatik|Information und Informationsverarbeitung|Menschenrechte|Strafrecht|Arbeitsrecht
2017-01-31		Agrarerzeugnisse und Lebensmittel|Beschäftigung und Arbeitsbedingungen|Informatik|Information und Informationsverarbeitung|Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel|Gesundheit|soziale Sicherheit|Verteidigung	soziale Sicherheit|Handel|Industrie|Unternehmen und Wettbewerb|Handel|Industrie|Unternehmen und Wettbewerb|Familie|soziale Sicherheit|Hochschulausbildung|öffentliche Verwaltung|öffentlicher Dienst|Familie|soziale Sicherheit|soziale Sicherheit|Sozialpolitik|Internationale Beziehungen|Exekutive|Forschung und geistiges Eigentum|Wissenschaften	Verkehr|soziale Sicherheit|soziale Sicherheit|Gesundheit|Verfassung|Exekutive|Verfassung|ausländischer Staatsangehöriger|öffentliche Verwaltung|öffentlicher Dienst|Fernsehen|Hörfunk|Arbeitslosenversicherung|Bildung|Organisation des Unterrichtswesens|Berufsverband|Verfassung|soziale Sicherheit|Einkommen|Fernsehen|Hörfunk|Verwaltung und Entlohnung des Personals|Berufsverband|Politische Partei|Verfassung|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens	Internationale Beziehungen|Exekutive|namentliche Abstimmung		Internationale Beziehungen|Exekutive|namentliche Abstimmung
2017-02-01	Gesundheit|Gesundheit|soziale Sicherheit|Flüchtling|junger Mensch	Gesundheit|Sport|Elektrizitäts- und Kernkraftindustrie|Handel|Industrie|partizipative Demokratie|Unternehmen und Wettbewerb	Hochschulausbildung|Post- und Fernmeldewesen|Forschung und geistiges Eigentum|Umwelt|Wissenschaften|Behinderter|Fernsehen|Hörfunk|Umwelt	Fernsehen|Hörfunk|Steuerwesen	Arbeitsrecht	ausländischer Staatsangehöriger|soziale Sicherheit|Tiermedizin|Tierschutz|Flüchtling|Beschäftigung und Arbeitsbedingungen|junger Mensch|Europäische Union|öffentliche Verwaltung|öffentlicher Dienst	Arbeitsrecht
2017-03-01	öffentliche Sicherheit|Familie|Gesundheit|Gesundheit		Familie|Staatswald|Umwelt|Wahl|Handel|Industrie|Tourismus|Unternehmen und Wettbewerb|Frau|Gleichbehandlung|Politik der Zusammenarbeit|Menschenrechte|Gerichtswesen|Handel|Industrie|Tiermedizin|Tierschutz|Unternehmen und Wettbewerb|Informatik|Information und Informationsverarbeitung|Strafrecht|Gesundheit|Familie|Frau|Gleichbehandlung|Opferhilfe|Strafrecht|Frau|Gleichbehandlung|Politik der Zusammenarbeit|Internationale Beziehungen|Völkerrecht|Presse|Menschenrechte	Land- und Forstwirtschaft, Fischerei|Straßen- und Brückenbau|Arbeitslosenversicherung|Beschäftigung und Arbeitsbedingungen|Frau|Gleichbehandlung|Arbeitsrecht|Handel|Industrie|Unternehmen und Wettbewerb|Presse	Behinderter|Sekundarstufe|Internationale Beziehungen|Völkerrecht|Presse	Presse|Familie|soziale Sicherheit|Steuerwesen	Behinderter|Sekundarstufe|Internationale Beziehungen|Völkerrecht|Presse
2017-03-02		Gesetzgebungsverfahren|Verfassung|Umwelt|Verwaltungsrecht|Behinderter|junger Mensch|direkt gewählte Kammer|Verfassung|Finanzwesen|Steuerwesen|Bildung|Organisation des Unterrichtswesens|junger Mensch|Strafrecht|Finanzwesen|Steuerwesen|öffentliche Verwaltung|öffentlicher Dienst	Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel|direkt gewählte Kammer|Verfassung	direkt gewählte Kammer|Verfassung|Umwelt|Verwaltungsrecht	Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|direkt gewählte Kammer|Verfassung|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit	Straßenverkehr|Gesundheit|Umwelt|Arbeitsrecht|Familie|direkt gewählte Kammer|Verfassung|Sozialpolitik|Straßenverkehr|soziale Sicherheit|Fernsehen|Hörfunk	Finanzwesen|Handel|Industrie|Unternehmen und Wettbewerb|direkt gewählte Kammer|Verfassung|Handel|Industrie|Unternehmen und Wettbewerb|soziale Sicherheit
2017-03-14		Staatsangehöriger|Vereinsleben|Versammlungsfreiheit|Behinderter|Beschäftigung und Arbeitsbedingungen	Handel|Industrie|Umwelt|Unternehmen und Wettbewerb|Bildung|Organisation des Unterrichtswesens|Bildung|Organisation des Unterrichtswesens|Einkommen|Frau|Gleichbehandlung|Verwaltung und Entlohnung des Personals|Handel|Industrie|Unternehmen und Wettbewerb|Verfassung|Gesundheit|Umwelt	Fernsehen|Hörfunk|Arbeitsrecht|Verfassung|Berufsverband|Geschäftsordnung des Parlaments|Haushaltskontrolle	Bürgerliches Recht|Gesundheit|Umwelt	Agrarerzeugnisse und Lebensmittel|Tourismus|Gesundheit|Umwelt	Bürgerliches Recht|Gesundheit|Umwelt
2017-03-15		Tiermedizin|Tierschutz	Tiermedizin|Tierschutz	Tiermedizin|Tierschutz	Tiermedizin|Tierschutz	Tiermedizin|Tierschutz	Tiermedizin|Tierschutz
2017-03-20					Bürgerliches Recht		Bürgerliches Recht
2017-03-21			Forschung und geistiges Eigentum|Wirtschaft|Wissenschaften		Forschung und geistiges Eigentum|Wirtschaft|Wissenschaften		Forschung und geistiges Eigentum|Wirtschaft|Wissenschaften
2017-03-29	Bauindustrie und öffentliches Bauwesen|Baupolitik	Energie|Straßenverkehr|namentliche Abstimmung|Vereinfachung der Rechtsvorschriften	soziale Sicherheit|soziale Sicherheit|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Familie|Forschung und geistiges Eigentum|Wissenschaften|Geschäftsordnung des Parlaments|Haushaltskontrolle|Steuerwesen|Primarstufe|Straßenverkehr|Gesetzgebungsverfahren|Handel|Industrie|Unternehmen und Wettbewerb|Forschung und geistiges Eigentum|Wissenschaften|Schienentransport|Verwaltungsorganisation|Gesundheit|öffentliche Verwaltung|öffentlicher Dienst|Land- und Forstwirtschaft, Fischerei|Umwelt|Finanzwesen|Handel|Industrie|Politik der Zusammenarbeit|Unternehmen und Wettbewerb	soziale Sicherheit|Gesundheit|soziale Sicherheit|Raumordnung|Umwelt|Bürgerliches Recht|Politische Partei|Fernsehen|Hörfunk|Umwelt|Verwaltungsrecht|Umwelt|Gesundheit|Forschung und geistiges Eigentum|Wissenschaften|Gerichtswesen|Raumordnung|Umwelt|Völkerrecht|Vereinfachung der Rechtsvorschriften	Vereinsleben|Versammlungsfreiheit|Handel|Industrie|Unternehmen und Wettbewerb	Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb|Agrarerzeugnisse und Lebensmittel|Agrarerzeugnisse und Lebensmittel|Handel|Industrie|Unternehmen und Wettbewerb	Vereinsleben|Versammlungsfreiheit|Handel|Industrie|Unternehmen und Wettbewerb
2017-03-30	Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|Informatik|Information und Informationsverarbeitung|Bildung|Gesundheit|Organisation des Unterrichtswesens	Schienentransport|Bildung|Gesundheit|Organisation des Unterrichtswesens|Gesundheit|soziale Sicherheit|Flüchtling|Wasserbau|Gesundheit|soziale Sicherheit|Steuerwesen|Wohnungspolitik|Europäische Union|Flüchtling|Menschenrechte|Steuerwesen|Gesundheit|soziale Sicherheit	Bürgerliches Recht|Öffentliche Finanzen und Haushaltspolitik	Fernsehen|Hörfunk|Bildung|Familie|Organisation des Unterrichtswesens		Arbeitslosenversicherung|Europäische Union|soziale Sicherheit|Agrarerzeugnisse und Lebensmittel	
2017-04-26		Frau|Gesundheit|Gleichbehandlung|Statistik|Einkommen|Verwaltung und Entlohnung des Personals|Bildung|öffentliche Verwaltung|öffentlicher Dienst|Organisation des Unterrichtswesens|ausländischer Staatsangehöriger|Staatsangehöriger|Agrarerzeugnisse und Lebensmittel|Frau|Gesundheit|Gleichbehandlung|Statistik|Finanzwesen|Forschung und geistiges Eigentum|Wissenschaften|Opferhilfe	Beschäftigung und Arbeitsbedingungen|Einkommen|Flüchtling|Verwaltung und Entlohnung des Personals|Kulturpolitik|Kunst|Bildung|Organisation des Unterrichtswesens|Primarstufe|Beschäftigung und Arbeitsbedingungen|Flüchtling|junger Mensch|Frau|Gleichbehandlung|Vereinte Nationen|Arbeitsrecht|Frau|Gleichbehandlung|Abfall|Abfallwirtschaft|Umwelt|Steuerwesen|Opferhilfe	Europäische Union|Bildung|Gesundheit|Informatik|Information und Informationsverarbeitung|Organisation des Unterrichtswesens|Menschenrechte|Verfassungsgerichtsbarkeit|Verwaltungsgerichtsbarkeit|Europäische Union|Europäische Union|Menschenrechte|Berufsverband|Handel|Industrie|Unternehmen und Wettbewerb|Verfassung|Europäische Union|Opferhilfe	Opferhilfe	soziale Sicherheit|Flüchtling|Vereinte Nationen|Opferhilfe	Opferhilfe
